Goalie,Jersey,Team,Division,Tier,GP,W,L,GA,GAA,SO
Chris  Casilli,35,Burger Boys,California 3,Tier 3,7,7,0,3,0.43,0
Winston Hacking,33,Golden Eagles,Pacific Northwest 3,Tier 3,9,8,1,4,0.44,0
Tyler Morris,39,Wear-It,Buffalo 2,Tier 2,6,6,0,3,0.5,0
Danny Tibbrine,39,Mojo,South Jersey 2,Tier 2,2,2,0,1,0.5,0
Danny MacMahon,31,Crowns,Carolina 3,Tier 3,4,3,1,2,0.5,0
Jimmy Burkitt,1,Majestic,South Jersey 2,Tier 2,7,6,1,4,0.57,0
Ian Engel,31,Storm,South Jersey 2,Tier 2,5,5,0,3,0.6,0
Eric Dinkelmann,0,Shiners,California 3,Tier 3,3,2,1,2,0.67,0
Sean Reilly,30,Ball Hockey Team,North Jersey 2,Tier 2,8,6,2,6,0.75,0
Leo Wristen,33,Mutiny,Florida 2,Tier 2,4,4,0,3,0.75,0
Mike Walker,31,Ball Hockey Team,North Jersey 2,Tier 2,10,9,1,8,0.8,0
Nic Peterson,55,Bashers,California 2,Tier 2,6,6,0,5,0.83,0
Fazeel Khan,29,Counts,Indiana 3,Tier 3,8,8,0,7,0.88,0
Dan Cohen,35,Chiefs,South Jersey 2,Tier 2,8,6,2,7,0.88,0
Nick  Lewanksi,33,Snipers,Chicago 2,Tier 2,10,9,1,9,0.9,0
Daniel Shaburov,22,Rush,California 3,Tier 3,1,1,0,1,1,0
Sam Kaplan,33,Bears,Pacific Northwest 3,Tier 3,1,0,1,1,1,0
Jim Cendrowski,51,Bantams,Pittsburgh 2,Tier 2,6,5,0,5,1,0
Patrick McCall,81,Counts,Indiana 3,Tier 3,0,0,0,1,1,0
Andrew Gullett,31,Marksmen,Texas 3,Tier 3,2,2,0,2,1,0
Thayne Lentz,19,D5 Ducks,Florida 2,Tier 2,1,1,0,1,1,0
Eric Kroeker,90,Shiners,California 3,Tier 3,2,1,1,2,1,0
Blake Clatterbuck,21,Mastodons,Indiana 3,Tier 3,2,1,1,2,1,0
Hunter Boudreau,21,Owls,Massachusetts,Tier 1,1,1,0,1,1,0
Marc Camosci,35,Squall,Carolina 3,Tier 3,4,4,0,4,1,0
Brad Brey,29,Cold Snacks,Pacific Northwest 3,Tier 3,1,1,0,1,1,0
Anton Muth,2,Stingrays,Chicago 2,Tier 2,1,0,1,1,1,0
Zac Robideau,12,Wolverines,Massachusetts 2,Tier 2,1,0,1,1,1,0
Scott Eberle,39,Mutiny,Florida 2,Tier 2,7,6,1,8,1.14,0
James Polk,13,Rougarou,Texas 3,Tier 3,7,6,1,8,1.14,0
Robert Neal,29,Storm,South Jersey 2,Tier 2,5,3,2,6,1.2,0
Zack Thimons,39,Militia,Pittsburgh 2,Tier 2,6,5,0,6,1.2,0
Paul Barrett,49,Space Pirates,South Jersey 2,Tier 2,10,9,1,12,1.2,0
Mike McKenna,15,Moonshiners,Philadelphia 3,Tier 3,10,9,1,12,1.2,0
Anthony Graser,55,Devils,Philadelphia 3,Tier 3,4,4,0,5,1.25,0
Jason Rocha,27,Blue Devils,New England 2,Tier 2,6,3,1,5,1.25,0
Joey Corcoran,0,Purge,Philadelphia 2,Tier 2,9,7,2,12,1.33,0
Dan Supon,27,Squids,Buffalo 2,Tier 2,3,2,1,4,1.33,0
Trevor Lenzmeier,39,Cold Snacks,Pacific Northwest 3,Tier 3,11,9,2,15,1.36,0
Richard  Leon,39,Reapers,Buffalo 2,Tier 2,5,5,0,7,1.4,0
Robby Mangini,72,Mavericks,New Jersey,Tier 1,5,2,3,7,1.4,0
Matt Englert,39,Wear-It,Buffalo 2,Tier 2,7,6,1,10,1.43,0
Tyler Crawford,33,Owls,Massachusetts,Tier 1,7,6,1,10,1.43,0
Frank Keitz,44,716ers,Buffalo,Tier 1,6,6,0,9,1.5,0
John Littleton,30,Shiners,California 3,Tier 3,4,3,1,6,1.5,0
Dom Massaro,39,Minutemen,New England 2,Tier 2,4,1,1,3,1.5,0
Jeff Trojan,35,Magic,Pittsburgh 2,Tier 2,6,3,1,6,1.5,0
Chad Turner,27,Predators,Buffalo 2,Tier 2,11,6,5,17,1.55,0
Sean Roach,29,Rattlers,Boston 3,Tier 3,9,6,3,14,1.56,0
Tyler  Galisewski,35,Dinos,Philadelphia 3,Tier 3,7,6,1,11,1.57,0
Karl Mueller,20,Marksmen,Texas 3,Tier 3,10,7,3,16,1.6,0
Robbie Snyder,31,Caribou,New Jersey,Tier 1,8,5,3,13,1.63,0
Andrew Carter,1,Stars,Massachusetts,Tier 1,8,7,1,13,1.63,0
Joe Copella,97,716ers,Buffalo,Tier 1,6,5,1,10,1.67,0
Cale Bowman,37,Crowns,Carolina 3,Tier 3,6,3,3,10,1.67,0
Chris Thibault,31,Norsemen,Massachusetts 2,Tier 2,10,8,2,17,1.7,0
Steve Taddonio,33,Rattlers,Boston 3,Tier 3,7,7,0,12,1.71,0
Brian Howes,1,Raiders,Chicago 2,Tier 2,4,1,2,7,1.75,0
Ben Platz,31,Donkeys,Indiana 3,Tier 3,5,3,1,7,1.75,0
Mike Zambon,35,Demons,Philadelphia 2,Tier 2,4,3,1,7,1.75,0
John Cowan,1,Squall,Carolina 3,Tier 3,4,3,1,7,1.75,0
Evan Dubrule,1,Tropics,Massachusetts 2,Tier 2,9,9,0,16,1.78,0
Ben Berger,29,Blazers,Maryland 3,Tier 3,10,5,4,16,1.78,0
Sean Kelly,32,Sauce,California 2,Tier 2,10,4,6,18,1.8,0
Brian Wiernicki,31,Thunder,Florida 2,Tier 2,11,8,3,20,1.82,0
Brian  Forpahl,40,Reapers,Buffalo 2,Tier 2,7,5,2,13,1.86,0
Thomas Adesso,33,Massive,Texas 3,Tier 3,9,4,5,17,1.89,0
Jon Krause,5,Haze,Washington DC,Tier 2,11,8,3,21,1.91,0
Nick Molinari,1,Sea Bass,Massachusetts,Tier 1,4,2,2,8,2,0
Josh Cargen,26,Cavalrymen,Philadelphia 3,Tier 3,2,0,1,2,2,0
Shane Dooley,31,Sharks,Philadelphia 3,Tier 3,3,1,2,6,2,0
Adam Cohen,31,Sharks,Philadelphia 3,Tier 3,4,1,3,8,2,0
Mike Durden,40,Minutemen,New England 2,Tier 2,2,2,0,4,2,0
John Etling,33,Mavericks,New Jersey,Tier 1,4,0,4,8,2,0
Pat Mccue,30,Militia,Pittsburgh 2,Tier 2,4,3,1,8,2,0
Matt Wentworth,33,Mutiny,Florida 2,Tier 2,3,2,1,6,2,0
Bobby Teagarden,70,Imperium,Pittsburgh,Tier 1,6,4,1,10,2,0
Nick Adkins,13,Golden Eagles,Pacific Northwest 3,Tier 3,3,2,1,6,2,0
Zack Boyce,31,Ronin,Buffalo 2,Tier 2,8,4,4,16,2,0
Tony Demonico,31,Hockey Club,Buffalo,Tier 1,7,3,4,14,2,0
Austin Czoper,39,Rebels,Pittsburgh 2,Tier 2,5,1,3,8,2,0
Maxie Weiss,29,Ogopogos,Maryland 3,Tier 3,8,6,0,12,2,0
Nick Salvatore,33,Nights Watch,New Jersey,Tier 1,9,6,3,18,2,0
John Dominick,31,Revenge,Pittsburgh 2,Tier 2,6,3,2,10,2,0
Ryan Nix,27,Show Stoppers,Pittsburgh,Tier 1,4,4,0,8,2,0
Frank Arcury,35,Mob,Buffalo 2,Tier 2,12,8,4,25,2.08,0
Matt Stanks,79,Chimney Fish,South Jersey 2,Tier 2,9,6,3,19,2.11,0
Ryan Delrosario,33,Swell,California 3,Tier 3,8,5,3,17,2.13,0
Tim Papagno,30,Dawgz,New Jersey,Tier 1,7,6,1,15,2.14,0
Pete Consentino,3,Warlocks,Pittsburgh 2,Tier 2,7,3,4,15,2.14,0
Jordan Loftis,2,Plague,Washington DC,Tier 2,12,9,3,26,2.17,0
Mark Quinn,1,Thunderducks,Massachusetts 2,Tier 2,6,4,2,13,2.17,0
Aaron Portillo,66,Wolves,California 2,Tier 2,6,3,3,13,2.17,0
Will Phifer,10,Gladiators,Washington DC,Tier 2,10,8,2,22,2.2,0
Myke Dill,72,Warriors,Massachusetts 2,Tier 2,10,7,3,22,2.2,0
Jimmy Otto,29,Jokers,Philadelphia 3,Tier 3,10,7,3,22,2.2,0
Matt Marotta,35,Hawks,New Jersey,Tier 1,9,6,3,20,2.22,0
Zach Burkhardt,36,Code Red,Philadelphia 2,Tier 2,9,5,4,20,2.22,0
Andrew Grivnovics,4,Heat,Philadelphia 2,Tier 2,9,6,3,20,2.22,0
Ray Tobias,50,Rats,Chicago 2,Tier 2,9,3,6,20,2.22,0
Alex Guckes,67,Apocalypse,Pittsburgh 2,Tier 2,6,3,1,9,2.25,0
Brian Gradziel,42,Mojo,South Jersey 2,Tier 2,8,2,6,18,2.25,0
Edward Dymec,1,Wolves,California 2,Tier 2,4,3,1,9,2.25,0
Bill Jacques,30,Raiders,Chicago 2,Tier 2,7,4,3,16,2.29,0
Nick McCleary,35,Jays,South Jersey 2,Tier 2,10,5,5,23,2.3,0
James Barbier,34,Devils,Philadelphia 3,Tier 3,6,3,3,14,2.33,0
Bryce Scanlon,80,Imperium,Pittsburgh,Tier 1,5,1,2,7,2.33,0
Brandon  Silvia,32,Chargers,New England 2,Tier 2,3,2,1,7,2.33,0
Wade Bitner,66,Stingrays,Chicago 2,Tier 2,11,5,5,26,2.36,0
Frank Hartman,35,Knights,South Jersey 2,Tier 2,8,3,5,19,2.38,0
Scott Price,43,Ronin,Buffalo 2,Tier 2,5,1,4,12,2.4,0
Hunter McAdams,1,Rougarou,Texas 3,Tier 3,5,5,0,12,2.4,0
Steve Barry,1,Maulers,Massachusetts 2,Tier 2,12,6,6,29,2.42,0
Matt McCracken,36,Hired Guns,North Jersey 2,Tier 2,12,9,3,29,2.42,0
Kenny Layne,31,Vengeance,Massachusetts 2,Tier 2,7,4,3,17,2.43,0
Calvin O'Connell,98,Top Guns,New Jersey,Tier 1,7,6,1,17,2.43,0
Drew Liszewski,1,Sloths,South Jersey 2,Tier 2,9,6,3,22,2.44,0
Josh Friedman,55,Red Bulls,North Jersey 2,Tier 2,2,1,1,5,2.5,0
Alex Betz,27,Mastodons,Indiana 3,Tier 3,2,1,1,5,2.5,0
John Zurenski,0,Warlocks,Pittsburgh 2,Tier 2,2,1,1,5,2.5,0
Dan Skinner,33,Honey Badgers,Buffalo 2,Tier 2,4,2,2,10,2.5,0
Kevin Newton,1,Raging Goats,New England 2,Tier 2,2,1,1,5,2.5,0
Jimmy Spina,35,Sound,North Jersey 2,Tier 2,14,9,5,36,2.57,0
Bryce Erb,30,Hustle,Philadelphia 2,Tier 2,5,3,2,13,2.6,0
Matt Gilchrest,35,Blackhawks,Massachusetts,Tier 1,6,1,5,16,2.67,0
Dan Kerr,76,Sharks,Philadelphia 3,Tier 3,3,1,2,8,2.67,0
Joey Roccia,34,Monarchs,South Jersey 2,Tier 2,10,2,8,27,2.7,0
Marcus Palmisano,39,Squids,Buffalo 2,Tier 2,7,2,5,19,2.71,0
Garry Yocius,30,Blitz,Pittsburgh 2,Tier 2,10,4,4,22,2.75,0
Brandon Junik,42,Smoke,Buffalo,Tier 1,9,3,6,25,2.78,0
Randy Heller,12,Boogie,Philadelphia 3,Tier 3,5,2,3,14,2.8,0
Mike Waslesyn,35,Berserkers,Philadelphia 3,Tier 3,5,2,3,14,2.8,0
Jackson Roberts,70,Daredevils,Buffalo,Tier 1,8,4,4,23,2.88,0
John Barton,72,Leafs,Philadelphia 3,Tier 3,9,3,6,26,2.89,0
Dan Harding,17,Mariners,Boston 3,Tier 3,10,2,8,29,2.9,0
Marty Dunlap,34,Massacre,Boston 3,Tier 3,10,7,3,30,3,0
Joshua Lauzus,75,Bears,Pacific Northwest 3,Tier 3,10,2,8,30,3,0
Christian Walleck,29,Bantams,Pittsburgh 2,Tier 2,4,2,1,9,3,0
Zach Marquis,31,Sea Bass,Massachusetts,Tier 1,6,2,2,12,3,0
Patrick Martin,90,Rise,Carolina 3,Tier 3,3,0,3,9,3,0
Herm Sorcher,41,Red Bulls,North Jersey 2,Tier 2,6,4,2,18,3,0
Gianni Magliocco,36,Apocalypse,Pittsburgh 2,Tier 2,4,3,1,12,3,0
John Strike,27,Hedgehogs,Maryland 3,Tier 3,8,1,6,21,3,0
Nick Tkacz,32,Demons,Philadelphia 2,Tier 2,4,1,3,12,3,0
Towner French,0,Phantoms,Washington DC,Tier 2,9,2,7,27,3,0
Sean Thompson,31,Royals,California 2,Tier 2,6,2,4,18,3,0
Brian Leblanc,31,Thunderducks,Massachusetts 2,Tier 2,6,2,4,18,3,0
Shane  Morrow,35,NightHawks,Pittsburgh 2,Tier 2,5,1,3,12,3,0
Patrick Bell,31,Warbirds,Pittsburgh,Tier 1,6,2,1,9,3,0
Dan Bartlett,13,Hitmen,North Jersey 2,Tier 2,2,1,1,6,3,0
Jon Alves,29,Assassins,Boston 3,Tier 3,3,1,2,9,3,0
Dave Deuerling,35,Bandits,Pittsburgh 2,Tier 2,1,0,1,3,3,0
Mike Calabrese,37,Knights,South Jersey 2,Tier 2,2,1,1,6,3,0
Sheldon Hannan,39,Revenge,Pittsburgh 2,Tier 2,4,3,1,12,3,0
Edward Walsh,29,Show Stoppers,Pittsburgh,Tier 1,2,1,0,3,3,0
Logan Bergeron,72,Terriers,Massachusetts,Tier 1,9,3,5,24,3,0
Rocco Giampietro,22,Kings,Chicago 2,Tier 2,9,1,7,28,3.11,0
Michael Bender,24,Sparks,Washington DC,Tier 2,9,3,6,28,3.11,0
Kenny  Jones,98,Bruins,California 2,Tier 2,7,3,4,22,3.14,0
Damian Calvert,88,Bandits,Pittsburgh 2,Tier 2,9,3,4,22,3.14,0
Mike Stern,98,Boogie,Philadelphia 3,Tier 3,5,2,3,16,3.2,0
Julian Navia,5,Berserkers,Philadelphia 3,Tier 3,5,1,4,16,3.2,0
Taylor Dennard,33,Arsenal,Texas 3,Tier 3,9,4,5,29,3.22,0
James Hotchner,13,Rise,Carolina 3,Tier 3,3,0,3,10,3.33,0
Garret Mills,39,Flamingos,Massachusetts 2,Tier 2,10,4,6,34,3.4,0
Mason Smiley,36,Soul,South Jersey 2,Tier 2,5,3,2,17,3.4,0
Justin Freebairn,1,Donkeys,Indiana 3,Tier 3,5,1,3,14,3.5,0
Aaron Scarelli,19,Warriors,Massachusetts 2,Tier 2,2,0,2,7,3.5,0
Brandon  Petticord,1,NightHawks,Pittsburgh 2,Tier 2,5,1,3,14,3.5,0
